"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1959898586616828289","Fri Aug 29 07:40:57 +0000 2025","0","@siskaloren73282 @tanyarlfes Micellar water merk watson (isi banyk terus di pump). Lulur pake Purbaya yg 1 liter (gw beli refil soalnya murah dan banyak. Jd awet). Udh ini aja kak. Kalau kepengen ya biasanya gw tambahin minyak zaitun aja","1961333233741660574","","siskaloren73282","in","","0","0","0","https://x.com/undefined/status/1961333233741660574","1871231835906465792",
"1961030288823529762","Fri Aug 29 03:34:52 +0000 2025","0","@wahyu_bewe @Sandika_Noor woy tolol! justru gue lebih banyak ngasih dari pada minta ke negara","1961271304457523667","","wahyu_bewe","in","","0","0","0","https://x.com/undefined/status/1961271304457523667","1424608730",
"1960981227025969449","Thu Aug 28 08:24:42 +0000 2025","0","Ketua DK LPS Purbaya Yudhi Sadewa bilang orang kaya &amp; perusahaan masih parkir duit di bank sambil nunggu ekspansi. Sementara tabungan menengah-bawah melemah: Dari 6 8% (Maret 2025) turun jadi 3 7% (Mei 2025). Duit habis buat lebaran healing sampai cicilan. https://t.co/EFMQKNSzlP","1960981857442361436","https://pbs.twimg.com/media/GzbOK5wWYAAtMZY.jpg","ConversationIDN","in","","0","2","1","https://x.com/undefined/status/1960981857442361436","892211698030989312",
"1960706254516388321","Wed Aug 27 14:33:55 +0000 2025","0","@interstellar1ca Purbaya menilai banyak perusahaan-perusahaan yang termasuk dalam rekening tiering tersebut yang masih menahan ekspansi bisnis. Summary konferensi persnya aja membingungkan. :/","1960712383124394260","","interstellar1ca","in","","0","1","0","https://x.com/undefined/status/1960712383124394260","54893279",
"1960522781151649945","Wed Aug 27 02:00:30 +0000 2025","1","Pertumbuhan simpanan nasabah di atas Rp5 miliar terpantau lebih cepat dibandingkan nasabah dengan simpanan di bawah Rp100 juta. Ketua Dewan Komisioner Lembaga Penjamin Simpanan (LPS) Purbaya Yudhi Sadewa mengatakan hal ini mengindikasikan adanya dana yang ditahan perusahaan https://t.co/ZHKxSEB5IS","1960522781151649945","https://pbs.twimg.com/media/GzSezOPbgAAC8W3.jpg","","in","","0","0","0","https://x.com/undefined/status/1960522781151649945","231355136",
"1959983154913305014","Tue Aug 26 11:49:59 +0000 2025","1","@purbaya_galih @gugus18plus Punyaku juga gak bisa udah hapus data udah di uninstall download lagi tetap gak bisa","1960308739904569838","","purbaya_galih","in","","0","1","0","https://x.com/undefined/status/1960308739904569838","1674723719560966146",
"1958783792581419150","Fri Aug 22 06:50:23 +0000 2025","0","Ketidakpastian terutama yang bersumber dari faktor eksternal hampir mewarnai perekonomian nasional setiap tahun. Ketua Dewan Komisioner LPS Purbaya Yudhi Sadewa mengatakan selagi pemerintah mampu menjaga dan mengelola permintaan domestik maka optimisme perekonomian akan tumbuh","1958783792581419150","","","in","","0","0","0","https://x.com/undefined/status/1958783792581419150","145121986",
"1958773335359381993","Fri Aug 22 06:08:51 +0000 2025","0","Sebagai Keynote Speaker pada diskusi terkait penjaminan simpanan keuangan tersebut turut hadir Ketua dewan komisioner LPS Purbaya Yudhi Sadewa Ketua Komisi XI DPR-RI hingga Chairul Tanjung selaku Chairman CT Corp.","1958773342737224130","","humaskejatisu","in","","0","1","0","https://x.com/undefined/status/1958773342737224130","1052442479813898240",
"1958725820198830158","Fri Aug 22 03:00:01 +0000 2025","2","Ketua LPS: Soemitronomics Kunci Indonesia Melewati Berbagai Krisis Ekonomi Global Indonesia terbukti mampu melalui berbagai krisis ekonomi global ketika menggunakan jurus kearifan lokal atau local wisdom. Menurut Ketua Dewan Komisioner Lembaga Penjamin Simpanan (LPS) Purbaya https://t.co/tiZfvQX0kK","1958725820198830158","https://pbs.twimg.com/media/Gy6hfa5WoAAR_yU.png","","in","","1","0","2","https://x.com/undefined/status/1958725820198830158","786549338818224128",
"1958714492365549586","Fri Aug 22 02:15:00 +0000 2025","0","Ketua Dewan Komisioner Lembaga Penjamin Simpanan (LPS) Purbaya Yudhi Sadewa optimistis target pertumbuhan ekonomi sebesar 5 4 persen pada 2026 bisa dicapai dengan mengandalkan perekonomian lokal. https://t.co/mUNqyZPdSj","1958714492365549586","","","in","","0","0","0","https://x.com/undefined/status/1958714492365549586","2655442453",
"1958514424370598326","Thu Aug 21 13:00:00 +0000 2025","1","Ketua Dewan Komisioner Lembaga Penjamin Simpanan (LPS) Purbaya Yudhi Sadewa optimistis dengan pembangunan di era Presiden Prabowo Subianto. Purbaya yakin Indonesia bisa tumbuh lebih cepat di kepemimpinan Prabowo. #detikfinance #LPS #Prabowo #Ekonomi https://t.co/4v877kQUKU","1958514424370598326","https://pbs.twimg.com/amplify_video_thumb/1958452187568480256/img/Hz4v_C9d6zdNQY59.jpg","","in","","0","1","1","https://x.com/undefined/status/1958514424370598326","135795460",
"1958469137212342419","Thu Aug 21 10:00:03 +0000 2025","0","Lembaga Penjamin Simpanan (LPS) bicara soal penggantian uang nasabah jika bank bangkrut gara-gara oknum nakal. Ketua Dewan Komisioner LPS Purbaya Yudhi Sadewa mengatakan LPS akan mengganti uang nasabah hingga Rp 2 miliar. #detikfinance #LPS #OJK #Oknum https://t.co/5LTrYWt8xI","1958469137212342419","https://pbs.twimg.com/amplify_video_thumb/1958437368941461504/img/8V9VXhqyXFCZxqs2.jpg","","in","","0","2","0","https://x.com/undefined/status/1958469137212342419","135795460",
"1958369367684763932","Thu Aug 21 03:23:38 +0000 2025","0","Menurut Purbaya modal pengalaman itu bikin Indonesia kini lebih siap menghadapi gonjang-ganjing global. Source: CNBC Indonesia #crisis #krisis #moneter","1958369373514817846","","GrowWinID","in","","0","0","0","https://x.com/undefined/status/1958369373514817846","1619003125310042114",
"1958369367684763932","Thu Aug 21 03:23:36 +0000 2025","0","Ketua LPS Purbaya Yudhi Sadewa bilang krisis moneter 1998 bikin Indonesia belajar banyak. Saat itu pemerintah ambil kebijakan membingungkan dengan bunga selangit sampai 70% tapi uang beredar tetap deras. Hasilnya sektor riil kolaps dan rupiah dihajar spekulan. https://t.co/uPVPKMkT6Y","1958369367684763932","https://pbs.twimg.com/media/Gy2Gj3xa4AAgCMD.jpg","","in","","0","1","0","https://x.com/undefined/status/1958369367684763932","1619003125310042114",
"1958144043126522194","Wed Aug 20 12:28:15 +0000 2025","0","Purbaya CT &amp; Bankir Sajikan 'Daging' di LPS Financial Festival Medan https://t.co/CTALcSzdWW","1958144043126522194","","","in","","0","0","0","https://x.com/undefined/status/1958144043126522194","847372542830444544",
"1958114287785742457","Wed Aug 20 10:30:00 +0000 2025","24","Andhika sang raja hutang bisa-bisanya bawa pak Purbaya Yudhi Sadewa Ketua Dewan Komisioner LPS buat bantu jelasin amannya simpan uang di Bank tumben beneerr @lps_idic #KuAmanAdaLPS #LaporPakTRANS7 jam 21.30 WIB #T7 https://t.co/m5o15WHuVo","1958114287785742457","https://pbs.twimg.com/media/GyyAUhxbcAAd0bx.jpg","","in","","0","2","56","https://x.com/undefined/status/1958114287785742457","124839730",
"1958077292611322298","Wed Aug 20 08:03:00 +0000 2025","0"," Nggak usah takut ini pembangunan seperti agak aneh jalannya tapi arahnya ke sana dan kita akan bisa tumbuh lebih cepat kata Purbaya. https://t.co/Nf5Oob9XI8","1958077292611322298","","","in","","0","1","0","https://x.com/undefined/status/1958077292611322298","135795460",
"1958064772198592850","Wed Aug 20 07:13:15 +0000 2025","0","Purbaya Ajak Anak Muda Medan Cerdas Kelola Uang Bareng LPS https://t.co/XME9lPeanS","1958064772198592850","","","in","","0","0","0","https://x.com/undefined/status/1958064772198592850","847372542830444544",
"1958054895149543920","Wed Aug 20 06:34:00 +0000 2025","1","Di LPS Financial Festival 2025 Medan Ketua Dewan Komisioner LPS Purbaya Yudhi Sadewa mengingatkan pentingnya berinvestasi sejak dini. Jangan sampai kita kerja terus sampai tua tapi lupa menikmati hasilnya. Daftar sekarang di https://t.co/uOhR8k09Ak https://t.co/lnArM2Dzpj","1958054895149543920","https://pbs.twimg.com/media/Gyxnwb4bQAAiL5L.jpg","","in","","0","0","0","https://x.com/undefined/status/1958054895149543920","847372542830444544",
"1958000637616287746","Wed Aug 20 02:58:24 +0000 2025","1","LPS Financial Festival di Medan siap menggebrak Regale International Convention Center.⁣ ⁣ Yuk catat tanggalnya pembaca @CNNIndonesia: Rabu &amp; Kamis 20-21 Agustus 2025!⁣ ⁣ Kamu bisa dapat ilmu finansial dari pakar-pakar top kayak Purbaya Yudhi Sadewa Chairul Tanjung dan https://t.co/eihYUJ5At0","1958000637616287746","https://pbs.twimg.com/media/Gyw3GWQacAAJclF.jpg","","in","","0","0","0","https://x.com/undefined/status/1958000637616287746","17128975",
"1957692774855123210","Tue Aug 19 06:35:04 +0000 2025","0","Yuk simak dialog inspiratif bersama Ketua Dewan Komisioner LPS Purbaya Yudi Sadewa di LPS Financial Festival Medan 2025 pada: ️ Medan 20-21 Agustus 2025 Regale International Convention Centre ️Daftar di https://t.co/uOhR8jZBKM https://t.co/Tibbjb43Fw","1957692774855123210","https://pbs.twimg.com/media/GysfJQ_bIAAQ6HF.jpg","","in","","0","0","0","https://x.com/undefined/status/1957692774855123210","847372542830444544",
"1956976987500896603","Sun Aug 17 07:18:31 +0000 2025","0","@slmtwdd1 Mie ayam : https://t.co/efG3NXEdo2","1956978933150470201","","slmtwdd1","in","","0","0","0","https://x.com/undefined/status/1956978933150470201","1248164281",
"1956226552481636721","Fri Aug 15 23:03:25 +0000 2025","0","@murcedotcom @Jerseyforum @fajarrusalem DONE‼️ nama team: xylo nama manager: reza wahyu purbaya akun x katalog emg ga ada ya om?","1956491948803633169","","murcedotcom","in","","0","1","0","https://x.com/undefined/status/1956491948803633169","702869647",
"1955918285372805207","Thu Aug 14 09:03:53 +0000 2025","0","Jadi Kandidat Ketua LPS Purbaya: Tunggu Saja https://t.co/GMCOkTyM1o","1955918285372805207","","","in","","0","0","0","https://x.com/undefined/status/1955918285372805207","1303115408",
"1955049198812008890","Wed Aug 13 04:13:09 +0000 2025","0","@murcedotcom DONE‼️ nama team: xylo nama manager: reza wahyu purbaya akun x katalog emg ga ada ya om?","1955482733066760195","","murcedotcom","in","","0","0","0","https://x.com/undefined/status/1955482733066760195","702869647",
"1954491080696807428","Sun Aug 10 10:32:40 +0000 2025","0","Wayang - Stories and Pictures Uyta Wickert Tizar Purbaya Intermasa 1987 80 Halaman Rp. 65.000 https://t.co/ZaiiI6rJ30","1954491080696807428","https://pbs.twimg.com/media/Gx-_Py0bEAASCv0.jpg","","in","","0","0","0","https://x.com/undefined/status/1954491080696807428","1462060152400453651",
"1954205886752436437","Sat Aug 09 15:39:25 +0000 2025","60","Hari kedua LPS Financial Festival di Surabaya Sahabat LPS pada hari kedua LPS Financial Festival nggak kalah seru lho! Ketua Dewan Komisioner LPS Purbaya Yudhi Sadewa hadir menyampaikan keynote speech yang membahas Ekonomi yang Kuat dan Berdaulat Menghadapi Risiko https://t.co/zhzseu4LEW","1954205886752436437","https://pbs.twimg.com/media/Gx675HPbgAA40Zs.jpg","","in","","0","20","13","https://x.com/undefined/status/1954205886752436437","274895088",
"1953767097995341849","Fri Aug 08 10:35:50 +0000 2025","0","Ketua Dewan Komisioner Lembaga Penjamin Simpanan (LPS) Purbaya Yudhi Sadewa saat tampil sebagai keynote speech dalam acara LPS Financial Festival di Surabaya. Selengkapnya di https://t.co/wF16PBLCAI https://t.co/Y8zLWubWLM","1953767097995341849","https://pbs.twimg.com/media/Gx0sqLfb0AAjoRC.jpg","","in","","0","0","0","https://x.com/undefined/status/1953767097995341849","1902621206844731392",
"1953679440958923019","Fri Aug 08 04:47:30 +0000 2025","0","Ketua Dewan Komisioner LPS Purbaya Yudhi Sadewa menegaskan bahwa sumber utama pertumbuhan ekonomi Indonesia berasal dari permintaan domestik yang menyumbang sekitar 80 90 persen PDB sementara ekspor hanya sekitar 20 persen. Selengkapnya di https://t.co/Paybo3qwhb https://t.co/ga7DCZk2TG","1953679440958923019","https://pbs.twimg.com/media/Gxzc_N5asAAmJ0w.jpg","","in","","0","0","0","https://x.com/undefined/status/1953679440958923019","1621390110947434498",
"1953662172669587679","Fri Aug 08 03:38:53 +0000 2025","0","Ketua Dewan Komisioner Lembaga Penjamin Simpanan (LPS) Purbaya Yudhi Sadewa menyebutkan bonus demografi yang dimiliki Indonesia menjadi salah satu kekuatan dan potensi ekonomi yang besar di tengah dinamika global seperti sekarang. https://t.co/ljywzt0fPl","1953662172669587679","","","in","","0","0","0","https://x.com/undefined/status/1953662172669587679","2655442453",
"1953394697747206191","Thu Aug 07 09:56:02 +0000 2025","1","Ketua Dewan Komisioner Lembaga Penjamin Simpanan (LPS) Purbaya Yudhi Sadewa optimis terhadap daya tahan ekonomi Indonesia yang kuat dan berdaulat menghadapi risiko global. Yuk daftar sekarang di https://t.co/C8WYlmyKDJ atau klik link di bio IG @cnbcindonesia https://t.co/6Nm6afbQ2N","1953394697747206191","https://pbs.twimg.com/media/GxvaHq1acAAInFe.jpg","","in","","0","0","0","https://x.com/undefined/status/1953394697747206191","847372542830444544",
"1953389102180790777","Thu Aug 07 09:33:48 +0000 2025","1","Purbaya: Stabilitas Keuangan Harus Dikawal Tak Cuma Dijadikan Simbol https://t.co/MS2a4Oapgy","1953389102180790777","","","in","","0","0","0","https://x.com/undefined/status/1953389102180790777","847372542830444544",
"1953388443091771447","Thu Aug 07 09:31:11 +0000 2025","0","Purbaya: Stabilitas Keuangan Harus Dikawal Tak Cuma Dijadikan Simbol https://t.co/MS2a4O9Rr0","1953388443091771447","","","in","","0","0","0","https://x.com/undefined/status/1953388443091771447","847372542830444544",
"1953387977696010393","Thu Aug 07 09:29:20 +0000 2025","1","Bos LPS Purbaya Beberkan Bukti RI Kuat Hadapi Risiko Global https://t.co/OIOzKqhx95","1953387977696010393","","","in","","0","0","0","https://x.com/undefined/status/1953387977696010393","847372542830444544",
"1953382104919847246","Thu Aug 07 09:06:00 +0000 2025","1","LPS akan menjamin polis asuransi mulai 2028 menambah peran dalam menjaga stabilitas keuangan. Ketua LPS Purbaya menjelaskan pentingnya langkah ini. https://t.co/aveaqinJRh","1953382104919847246","","","in","","0","0","0","https://x.com/undefined/status/1953382104919847246","135795460",
"1953379587842576412","Thu Aug 07 08:56:00 +0000 2025","0","Ketua LPS Purbaya Yudhi Sadewa menyatakan LPS kini diakui internasional bahkan AS meniru cara kerja LPS dalam penjaminan simpanan nasabah! https://t.co/LVCYH4ANyw","1953379587842576412","","","in","","0","0","0","https://x.com/undefined/status/1953379587842576412","135795460",
"1953328720984277306","Thu Aug 07 05:33:52 +0000 2025","0","Purbaya Jamin LPS Pastikan Uang Nasabah Rp2 Miliar di Bank Aman https://t.co/pneJwNhMBx","1953328720984277306","","","in","","0","0","0","https://x.com/undefined/status/1953328720984277306","847372542830444544",
"1952646464339083358","Tue Aug 05 08:22:50 +0000 2025","1","Ingin tau strategi menabung dan berinvestasi yang baik dari Ketua Dewan Komisioner LPS Purbaya Yudi Sadewa? Yuk datang ke LPS Financial Festival 2025! 6 7 Agustus 2025 Dyandra Convention Center Surabaya GRATIS! Daftar sekarang di https://t.co/C8WYlmyKDJ https://t.co/h8bIxEpBnY","1952646464339083358","https://pbs.twimg.com/media/GxkxZyJaEAAqpsH.jpg","","in","","0","0","0","https://x.com/undefined/status/1952646464339083358","847372542830444544",
"1952555568763425258","Tue Aug 05 02:21:38 +0000 2025","7","Kalau kamu peduli masa depan yuk tingkatkan literasi keuangan mulai sekarang! Datang ke LPS Financial Festival 2025 dan dengarkan langsung pengalaman serta insight dari Chairul Tanjung Purbaya Yudhi Sadewa Muhammad Misbakhun Ellen May Cinta Laura hingga Raffi Ahmad! Banyak https://t.co/AIAfjbWxXG","1952555568763425258","https://pbs.twimg.com/media/Gxje3ekbMAAq7CB.jpg","","in","","0","3","3","https://x.com/undefined/status/1952555568763425258","124839730",
"1951969162609483890","Sun Aug 03 11:31:28 +0000 2025","0","Sebentar lagi... LPS Financial Festival 2025! ⁣ 6 7 Agustus Dyandra Convention Center Surabaya ⁣ Selama dua hari penuh kamu bisa dapetin insight langsung dari tokoh-tokoh hebat seperti Chairul Tanjung Purbaya Yudhi Sadewa Raffi Ahmad Ellen May sampai Cinta Laura. ⁣ https://t.co/H90PHBrEZm","1951969162609483890","https://pbs.twimg.com/media/GxbJkOGawAAUgoM.jpg","","in","","0","0","1","https://x.com/undefined/status/1951969162609483890","1422811771400646656",
"1951894825076502649","Sun Aug 03 06:36:05 +0000 2025","0","Lembaga Penjamin Simpanan (LPS) hadir lewat LPS Financial Festival yang akan digelar pada: 6 7 Agustus 2025 Dyandra Convention Center Surabaya ️ Akan hadir tokoh-tokoh inspiratif seperti: Chairul Tanjung Purbaya Yudhi Sadewa Muhammad Misbakhun Ellen May Cinta Laura Emil https://t.co/uh8rFZ0kH5","1951894825076502649","https://pbs.twimg.com/media/GxaF2W5bsAAnD2S.jpg","","in","","0","0","1","https://x.com/undefined/status/1951894825076502649","69183155",
"1951523507797667858","Sat Aug 02 06:00:36 +0000 2025","0","Purbaya Masuk Daftar Calon Ketua LPS 2025 2030 Enam Nama Diserahkan ke Presiden Prabowo https://t.co/7p15SEXYZW","1951523507797667858","","","in","","0","0","0","https://x.com/undefined/status/1951523507797667858","261160000",
"1951202356034433465","Fri Aug 01 08:44:27 +0000 2025","1","COK RIO ANAK PURBAYA WEDOK E SARU","1951202356034433465","","","in","","0","2","0","https://x.com/undefined/status/1951202356034433465","1426515143022628867",
